title,images,category,description,price,sku
3D Holographic Sparkle Lip Gloss 5g,"https://marooffc.com/wp-content/uploads/2023/10/B09WMF9BM1_-3-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B09WPK68L1-1-100x100.jpeg,https://marooffc.com/wp-content/uploads/2023/10/B09WPK68L1-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B09WPK68L1-3-100x100.jpg",marooffc,"Smooth. Sensorial. Sublime. Saturate lips in moisture and an irresistible hint of colour with limited edition Oil-Infused Lip Tint. The luxurious, gel-oil texture glides on effortlessly with a non-greasy feel, while Raspberry Seed Oil and Pomegranate Extract hydrate and protect lips. Vitamin A and E deliver a nourishing sensation to the lips and protect against environmental stressors. the best lip gloss in a variety of shades and formulas to add moisture and shine to lips.",,
3D Matte Black Eyeliner – 10ml,"https://marooffc.com/wp-content/uploads/2023/10/B07P61C7BZ-1-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P61C7BZ-4-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P61C7BZ-2-rotated-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P61C7BZ-3-rotated-1-100x100.jpg",marooffc,"Dermatologically tested Eyeliner with defined pigments, rich and smooth formula that glides quickly and easy to get a perfect outline. It dries fast. The brush is easy to control which gives a precise application.",,
9 Color Eyeshadow,"https://marooffc.com/wp-content/uploads/2023/10/B07P6YNXNF-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P6YNXNF-3-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P6YNXNF-2-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P6YNXNF-4-100x100.jpg",marooffc,"Featuring nine shades for lid, crease, liner, and highlighter, Bright Matte 9 Color Eyeshadow Palette can be used alone or as a base to pair with the shades in your other By MAROOF palettes. Highly pigmented, long-lasting, and effortlessly blendable, these versatile matte shades are everything you need to create subtle to bold looks.",,
Banana Powder,"https://marooffc.com/wp-content/uploads/2023/10/B07P97NQP1_-0-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P97NQP1_-1-100x100.jpg",marooffc,Maroof Banana Powder smooths the skin while lightly enhancing skin tones. This powder tends to not clog pores and creates a smooth finish over the foundation while eliminating shine and setting makeup and giving superb silky texture.,,
Color Eyeliner,"https://marooffc.com/wp-content/uploads/2023/10/B089RYXX8F_-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B089RYXX8F_-2-100x100.jpg",marooffc,"Waterproof, and smudge-proof color eyeliner, this liquid dries down to a striking matte finish and can be used on the face and body. Featuring a fine, flexible brush-tip applicator for killer precision and easy application of countless artistic looks, from epic body paint designs to dramatic graphic eyes.",,
Color Kajal Pencil Eyeliner – 1.2g,"https://marooffc.com/wp-content/uploads/2023/10/B089PYW2M2-0-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B089RJTXH3-3-100x100.jpg",marooffc,"Our deepest black pigments and unique tip deliver the color shine ever. Colour glides on smooth and so intense. Never before 12-hour of smudge-resistant wear. Our exclusive Color Kajal Pencil Eyeliner formula guarantees intense color results that won’t smudge, budge or fade, no more touch-ups. The ultimate in care with a combination of 5 caring ingredients formula enriched with Vitamin E soothes the eyes.",,
Everglow Highlighter,"https://marooffc.com/wp-content/uploads/2023/10/B07P83S5HK-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P61FX4H-4-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P61FX4H-5-100x100.jpg",marooffc,"A must-have for those who want a glowing complexion, a highlighter is an important part of the makeup process. It adds a touch of light that wakes up the complexion. it adapts to your skin to blend seamlessly. Use a highlighter to reveal a new depth of your facial beauty. A luxurious, slow-baked, velvety soft, domed face powder with a radiant finish. Blend all over for a sheer luminous polish to the skin.",,
Eye and Lip Liner Pencil,"https://marooffc.com/wp-content/uploads/2023/10/B07P619F1G-1-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P619F1G-3-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P619F1G-2-100x100.jpg",marooffc,"Create a hypnotic effect on your eyes with the waterproof eyeliner of Maroof. With the most mysterious tone of black, striking looks have never been so impressive. It is easily applied with its soft and creamy texture. Thanks to its highly pigmented formula, it does not flow and maintains its permanence all day long. Maroof Eyeliner is always preferred, without hesitation, thanks to its water-resistant formula.",,
Eyebrow Pencil,"https://marooffc.com/wp-content/uploads/2023/10/B07PC19GGX-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PC19GGX-3-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P83K67W-3-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PC19GGX-2-rotated-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PC19GGX-4-100x100.jpg",marooffc,"The eyebrow pencil of Maroof is one of the most effective formulas for shaping and defining your eyebrows. Comb your eyebrows with the brush and have the bushy and natural eyebrows you dream of. With its openable Maroof Eyebrow pencil form and permanent structure, it will create wonders for your eyebrows. Maroof eyebrow pencil provides durability in water.",,
Eyebrow Styling Mascara,"https://marooffc.com/wp-content/uploads/2023/10/B07PBCT38C_-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PBCT38C_-6-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PBCT38C_-2-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PBCT38C_-5-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PBCT38C_-4-rotated-1-100x100.jpg",marooffc,"The secret to successful makeup is eyebrow styling mascara. Designed to intensify the look and set the curve of your eyebrows. Clear or coloured, the fixative gel follows the line of your eyebrows to enhance your eyes. Maroof has a wide range of favourite gels and mascaras for well-defined eyebrows. The Maroof Mascara is an easy-to-use, buildable gel formula for all-day hold. It creates structured, intensified, and enhanced brows in just a few strokes leaving them perfectly shaped and beautifully defined.",,
L’AMOUR Professional Face Powder,"https://marooffc.com/wp-content/uploads/2023/10/B07PBD1VW3_-0-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PBD1VW3_-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PBD1VW3_-3-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PBD1VW3_-2-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PBD1VW3_-5-100x100.jpg",marooffc,"This specially designed three-way type of compact can be conveniently used for the dual effect of compact powder as well as foundation. Use compact as dry on smooth natural fresh looking skin. Use compact as wet for a moist, transparent, and healthy look of skin.",,
Long Lasting Glitter Eyeshadow,"https://marooffc.com/wp-content/uploads/2023/10/B07P97JJBK-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P83VS1H-2-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P83VS1H-3-100x100.jpg",marooffc,"This brilliantly long-wearing sparkle long lasting glitter eyeshadow combines the perfect mix of pearl and glitter to lavish eyes with incredible luster and shimmer. With its uniquely lightweight, water-infused texture, the Eyeshadow glides on effortlessly, then dries down smoothly, locking in maximum sparkle with minimal fallout, for eyes with a real wow factor.",,
Long Lasting Lipstick by Maroof,"https://marooffc.com/wp-content/uploads/2023/10/B07P97HTC5-1-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P97HTC5-2-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P97HTC5-4-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P97HTC5-3-100x100.jpg",marooffc,"Maroof Long Lasting Lipstick is designed to make you feel special, from its packaging to its striking colour tones. The creamy and highly pigmented colours in the series give lips an irresistible appeal and an extremely comfortable and silky appearance.",,
Long Lasting Make-Up Fixer – 150ml,"https://marooffc.com/wp-content/uploads/2023/10/B07PBYR5B8-1-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PBYR5B8-2-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PBYR5B8-3-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PBYR5B8-4-100x100.jpg",marooffc,"Dermatologically Tested. This Formula is suitable for all skin types. It basically keeps your eyeshadow, foundation, base, blush, and concealer in place whether in hot and humid or cold and windy climates. It makes your skin look smoother and better.",,
