title,images,category,description,price,sku
FLOODLIGHT COB LENZ,http://www.platoled.com/assets/img/categories/FL%20Normal/FL%20Normal-1.webp,platoled,"Product name FLOODLIGHT COB LENZ
Material ALUMINIUM
Color BLACK
IP Rating IP66
Color Temp 65K
CRI 80
LM/W 80
PF NA
Vol 220V
Available in
50W | 100 W | 150W | 200 W | 300 W",,
FLOODLIGHT SMALL BACKPACK,http://www.platoled.com/assets/img/categories/FL%20Normal/FL%20Normal-2.webp,platoled,"Product name FLOODLIGHT SMALL BACKPACK
Material ALUMINIUM
Color BLACK
IP Rating IP66
Color Temp 65K
CRI 80
LM/W 80
PF >0.9
Vol 220V
Available in
300 W | 400 W | 600 W | 800 W | 1000 W",,
FLOODLIGHT RW,http://www.platoled.com/assets/img/categories/FL%20Normal/FL%20Normal-3.webp,platoled,"Product name FLOODLIGHT RW
Material ALUMINIUM
Color BLACK
IP Rating IP66
Color Temp 6K | 4K | 3K | GREEN
CRI 80
LM/W 80
PF >0.9
Vol 100-240V
Available in
50W | 100 W | 200 W | 300 W | 400 W | 600 W",,
FLOODLIGHT SMD BERLIN,http://www.platoled.com/assets/img/categories/FL%20Normal/FL%20Normal-5.webp,platoled,"Product name FLOODLIGHT SMD BERLIN
Material Iron
Color BLACK
IP Rating IP66
Color Temp 65K | 35K
CRI 80
LM/W 80
PF >0.9
Vol AC220V
Available in
50 W | 100 W | 200 W | 300 W | 400 W | 500 W | 600 W",,
FLOODLIGHT ZXC-SQ PLATO,http://www.platoled.com/assets/img/categories/FL%20Normal/FL%20Normal-8.webp,platoled,"Product name FLOODLIGHT ZXC-SQ PLATO
Material ALUMINIUM
Color GRAY
IP Rating IP66
Color Temp 65K
CRI 80
LM/W 80
PF NA
Vol 100-240V
Available in
50W | 100 W | 200 W | 300 W | 400 W | 500 W | 600 W | 800 W",,
PH FLOODLIGHT,http://www.platoled.com/assets/img/categories/FL%20Normal/FL%20Normal-9.webp,platoled,"Product name PH FLOODLIGHT
Material ALUMINIUM
Color GRAY
IP Rating IP67
Color Temp 65K
CRI 80
LM/W 80lm/w
PF >0.9
Vol AC220V
Available in
50 W | 100 W | 200 W | 300 W | 400 W",,
FLOODLIGHT IL PHILIPS,http://www.platoled.com/assets/img/categories/FL%20Normal/FL%20Normal-10.webp,platoled,"Product name FLOODLIGHT IL PHILIPS
Material ALUMINIUM
Color GRAY
IP Rating IP66
Color Temp 65K | 4K | 3K
CRI 80
LM/W 130
PF >0.5
Vol AC110-220V
Available in
100 W | 200 W | 300 W | 400 W | 600 W",,
FLOODLIGHT OVAL BACKPACK,http://www.platoled.com/assets/img/categories/FL%20Normal/FL%20Normal-11.webp,platoled,"Product name FLOODLIGHT OVAL BACKPACK
Material ALUMINIUM
Color BLACK
IP Rating IP66
Color Temp 65K
CRI 80
LM/W 80
PF NA
Vol 220V
Available in
600 W | 1000 W",,
FLOODLIGHT 5054 LENZ,http://www.platoled.com/assets/img/categories/FL%20Normal/FL%20Normal-12.webp,platoled,"Product name FLOODLIGHT 5054 LENZ
Material ALUMINIUM
Color BLACK
IP Rating IP65
Color Temp 65K
CRI 70
LM/W 80
PF >0.5
Vol 220V
Available in
50W | 100 W | 150W | 200 W | 300 W | 400 W | 600 W | 1000 W | 1200 W",,
FLOODLIGHT ZXC-SMD LENZ,http://www.platoled.com/assets/img/categories/FL%20Normal/FL%20Normal-13.webp,platoled,"Product name FLOODLIGHT ZXC-SMD LENZ
Material ALUMINIUM
Color GRAY
IP Rating IP66
Color Temp 65K | GREEN | RED
CRI 80
LM/W 110
PF NA
Vol 100-240V
Available in
50W | 100 W | 200 W | 300 W | 400 W | 600 W | 1000 W",,
