title,images,category,description,price,sku
SF2600ICMIce Cream Maker,https://sanfordjapan.com/products/kitchen_appliances/ice_cream_maker/sf2600icm.jpg,sanfordjapan,"Stainless Steel Housing and motor gear
1500ml capacity quick freeze bowl.
Delicious ice cream, Sorbet & Frozen yoghurt.
Detachable double isolation bowl with handle.
LCD display with 40 minutes timer control.
Anti skid rubber bottom.
100% Copper Motor.
Motor with left and right motion.
Built in reversible thermostat, Easy to use and clean.",,
SF2601ICMIce Cream Maker,https://sanfordjapan.com/products/kitchen_appliances/ice_cream_maker/sf2601icm.jpg,sanfordjapan,"Stainless Steel Housing and motor gear
1500ml capacity quick freeze bowl.
Delicious ice cream, Sorbet & Frozen yoghurt.
Detachable double isolation bowl.
On/Off Button, Transparent cover.
Anti skid rubber bottom.
100% Copper Motor.
Motor with left and right motion.
Built in reversible thermostat, Easy to use and clean.",,
SF2602ICMIce Cream Maker,https://sanfordjapan.com/products/kitchen_appliances/ice_cream_maker/sf2602icm.jpg,sanfordjapan,"Stainless Steel Housing and motor gear
2 x 500ml capacity quick freeze cups.
Delicious ice cream, Sorbet & Frozen yoghurt.
On/Off Button, Transparent cover.
Anti skid rubber bottom.
100% Copper Motor.
Motor with left and right motion.
Easy to use and clean.",,
SF2603ICMIce Cream Maker,https://sanfordjapan.com/products/kitchen_appliances/ice_cream_maker/sf2603icm.jpg,sanfordjapan,"1.0 Litre Quick Freeze Bowl.
Make Ice Cream & Sorbet in 20 Minutes.
On/Off Button.
Anti-Skid Rubber Feet.
Quiet Operation.
Full Copper Motor, 15Watts.
Brochure    Manual",,
SF5554CJCitrus Juicer,https://sanfordjapan.com/products/kitchen_appliances/juicer_blender/sf5554cj_latest.jpg,sanfordjapan,"2 Press of Juicer Cones, Big & Small.
Stainless Steel Housing & Filter.
#304 Stainless Steel Mouth & Strainer.
Anti-Drip Function, Anti-Slip Base.
Detachable Parts, Easy to Clean.
300 Watts.
Brochure",,
SF5556CJCitrus Juicer,https://sanfordjapan.com/products/kitchen_appliances/juicer_blender/sf5556cj_new.jpg,sanfordjapan,"Automatic Citrus Juicer.
100% Copper Motor.
Stainless Steel Housing.
Anti-Drip Function / Two Cones.
Reverse Rotation Function.
Detachable Parts, Easy Cleaning.
User-Friendly Operation.
Power: 160 Watts.
Brochure",,
SF5559CJCitrus Juicer - 1.2L,https://sanfordjapan.com/products/kitchen_appliances/juicer_blender/sf5559cj.jpg,sanfordjapan,"Citrus Juicer, 1.2L Capacity, 40 Watts
Bi-directional twist, 2 Press cones
Attractive window on both sides.
Brochure",,
SF5560CJCitrus Juicer,https://sanfordjapan.com/products/kitchen_appliances/juicer_blender/sf5560cj.jpg,sanfordjapan,"Citrus Juicer, 1.2L Capacity, 40 Watts
Bi-directional twist, Adjustable strainer.
Brochure",,
SF5561CJCitrus Juicer,https://sanfordjapan.com/products/kitchen_appliances/juicer_blender/sf5561cj_new.jpg,sanfordjapan,"Automatic Citrus Juicer.
100% Copper Motor.
Plastic Housing.
Anti-Drip Function / Single Cones.
Reverse Rotation Function.
Detachable Parts, Easy Cleaning.
User-Friendly Operation.
Power: 85 Watts.
Brochure",,
SF5563CJCitrus Juicer,https://sanfordjapan.com/products/kitchen_appliances/juicer_blender/sf5563cj.jpg,sanfordjapan,"Twin Citrus Juicer.
Transparent Lid and Cup.
Detachable Parts for Easy Cleaning.
Wide Range of Citrus Juicer.
Squeezes 6 Oranges in 60 Seconds.
Slices & Squeezes with the Closed Cover.
90 Watts, Slicing Blade.
Brochure",,
